questionnaireId,instructions,questionId,order,question,required,type,answers
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9a0e89540004,n,What is your anticipated or actual graduation month?,true,Multiple Choice - Single Select,January; February; March; April; May; June; July; August; September; October; November; December
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9b424f810003,o,What is your anticipated or actual graduation year?,true,Multiple Choice - Single Select,2025; 2026; 2027; 2028; 2029; 2030; 2031; 2032; 2033; 2034; 2035; 2036; 2037; 2038; 2039; 2040; 2041; 2042; 2043; 2044; 2045; 2046; 2047; 2048; 2049
486e7eae2ec010010fbd9675081a0000,,486e7eae2ec010010fbd9da97c0e0001,p,What is your current cumulative GPA (out of 4.0)?,true,Multiple Choice - Single Select,2.79 or less; 2.8 to 2.99; 3 to 3.5; 3.51 to 4.0+; GPA not established yet
654041922e021001a5f997a55aef0000,,654041922e021001a662ba03cd6b0000,a,"Time in Role Guideline

To support employee development, ensure business continuity, and minimize disruptions, employees are expected to remain in their roles for a minimum of 18 months. Exceptions to this timeline may be approved by the direct manager in consultation with the HR Manager.

I acknowledge and understand the above guideline.",true,Multiple Choice - Single Select,Yes; No
654041922e021001a5f997a55aef0000,,654041922e021001a5f998d8df170000,b,How many years of relevant experience do you have in relation to the position that you are applying?,true,Text,
654041922e021001a5f997a55aef0000,,654041922e021001a5f998d8df170001,c,Is your current manager and/or your HR manager aware and supportive of you being considered for this role? (Your current manager and HR manager may be contacted at any point during this process.),true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77d309e920000,a,Are you 18 years of age or older?,true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77dcc3c7e0002,b,• Do you now require sponsorship for employment visa status (e.g. H-1B visa status)?,true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,a75114bc99560100b64c78901c720002,c,"• Will you in the future require sponsorship for employment visa status (e.g. H-1B, F-1, OPT, CPT visa status)?",false,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77dcc3c7e0008,d,"Are you willing to undergo a background check, drug screen and Fit For Work physical (if applicable) as a condition of employment?",true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77dcc3c7e000b,e,Have you ever been employed as a regular employee (including co-op/interns) or via a Staffing Agency by GE Appliances or any GE Appliances Affiliates?,true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77dcc3c7e000e,f,"I consent and acknowledge that as part of the GE Appliances recruitment process, GEA may contact me regarding my application, the progress of my application, and my involvement in the recruitment process including, but not limited to, surveys after the process.",true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77e67ce9d0000,g,Do you agree that GE Appliances may send you text messages solely for the purpose of communicating details of jobs you may be interested in or have applied for? Message and data rates may apply.,true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77e67ce9d0003,h,Are you an employee referral?,true,Multiple Choice - Single Select,Yes; No
68e1b3d143a201019fc77b5e2c9c0000,,68e1b3d143a201019fc77e67ce9d0006,i,"If yes, please include the employee's first and last name. List one (1) employee name only.",false,Text,
90dd8bf3517e1001f592ab8fca6f0000,,90dd8bf3517e1001f592ac2a12560000,a,Are you 18 years of age or older?,true,Multiple Choice - Single Select,Yes; No
90dd8bf3517e1001f592ab8fca6f0000,,90dd8bf3517e1001f592acc47a480001,b,Do you now require sponsorship for employment visa status (e.g. H-1B visa status)?,true,Multiple Choice - Single Select,Yes; No
90dd8bf3517e1001f592ab8fca6f0000,,90dd8bf3517e1001f592acc47a480004,c,"Will you in the future require sponsorship for employment visa status (e.g. H-1B, F-1, OPT, CPT visa status)?",false,Multiple Choice - Single Select,Yes; No
90dd8bf3517e1001f592ab8fca6f0000,,90dd8bf3517e1001f592ad5f1abe0002,d,"Are you willing to undergo a background check, drug screen and Fit For Work physical (if applicable) as a condition of employment?",true,Multiple Choice - Single Select,Yes; No
90dd8bf3517e1001f592ab8fca6f0000,,90dd8bf3517e1001f592ad5f1abe0005,e,Have you ever been employed as a regular employee (including co-op/interns) or via a Staffing Agency by GE Appliances or any GE Appliances Affiliates?,true,Multiple Choice - Single Select,Yes; No
90dd8bf3517e1001f592ab8fca6f0000,,90dd8bf3517e1001f592adf9584a0002,f,"I consent and acknowledge that as part of the GE Appliances recruitment process, GE Appliances may contact me regarding my application, the progress of my application, and my involvement in the recruitment process, including, but not limited to, surveys after the process.",true,Multiple Choice - Single Select,Yes; No
90dd8bf3517e1001f592ab8fca6f0000,,90dd8bf3517e1001f592adf9584a0005,g,Do you agree that GE Appliances may send you text messages solely for the purpose of communicating details of jobs you may be interested in or have applied for? Message and data rates may apply.,true,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9dbed7bb0001,a,Are you 18 years of age or older?,true,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9e587be70002,b,Do you now require sponsorship for employment visa status (e.g. H-1B visa status)?,true,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9e587be70005,c,"Will you in the future require sponsorship for employment visa status (e.g. H-1B, F-1, OPT, CPT visa status)?",false,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9e587be70008,d,"Are you willing to undergo a background check, drug screen and Fit For Work physical (if applicable) as a condition of employment?",true,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9ef1f8990002,e,Have you ever been employed as a regular employee (including co-op/interns) or via a Staffing Agency by GE Appliances or any GE Appliances Affiliates?,true,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9ef1f8990005,f,Are you subject to a non-compete or have an employment agreement with another employer that would prevent you from being employed by GE Appliances or GE Appliances Affiliates?,true,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9f8b8a3a0000,g,"I consent and acknowledge that as part of the GE Appliances recruitment process, GE Appliances may contact me regarding my application, the progress of my application, and my involvement in the recruitment process, including, but not limited to, surveys after the process.",true,Multiple Choice - Single Select,Yes; No
a7ba8f4cb4621001f55e9dbed7bb0000,,a7ba8f4cb4621001f55e9f8b8a3a0003,h,Do you agree that GE Appliances may send you text messages solely for the purpose of communicating details of jobs you may be interested in or have applied for? Message and data rates may apply.,true,Multiple Choice - Single Select,Yes; No
fbeb10cdf40f1001f55eb9a271b50000,,fbeb10cdf40f1001f55eba3c38e10000,a,Are you 18 years of age or older?,true,Multiple Choice - Single Select,Yes; No
fbeb10cdf40f1001f55eb9a271b50000,,fbeb10cdf40f1001f55ebb701b3a0000,b,Do you now require sponsorship for employment visa status (e.g. H-1B visa status)?,true,Multiple Choice - Single Select,Yes; No
fbeb10cdf40f1001f55eb9a271b50000,,fbeb10cdf40f1001f55ebb701b3a0003,c,"Will you in the future require sponsorship for employment visa status (e.g. H-1B, F-1, OPT, CPT visa status)?",false,Multiple Choice - Single Select,Yes; No
fbeb10cdf40f1001f55eb9a271b50000,,fbeb10cdf40f1001f55ebc0a0ee60000,d,"Are you willing to undergo a background check, drug screen and Fit For Work physical (if applicable) as a condition of employment?",true,Multiple Choice - Single Select,Yes; No
fbeb10cdf40f1001f55eb9a271b50000,,fbeb10cdf40f1001f55ebc0a0ee60003,e,Have you ever been employed as a regular employee (including co-op/interns) or via a Staffing Agency by GE Appliances or any GE Appliances Affiliates?,true,Multiple Choice - Single Select,Yes; No
fbeb10cdf40f1001f55eb9a271b50000,,fbeb10cdf40f1001f55ebc0a0ee60006,f,"I consent and acknowledge that as part of the GE Appliances recruitment process, GE Appliances may contact me regarding my application, the progress of my application, and my involvement in the recruitment process, including, but not limited to, surveys after the process.",true,Multiple Choice - Single Select,Yes; No
fbeb10cdf40f1001f55eb9a271b50000,,fbeb10cdf40f1001f55ebca3fd870002,g,Do you agree that GE Appliances may send you text messages solely for the purpose of communicating details of jobs you may be interested in or have applied for? Message and data rates may apply.,true,Multiple Choice - Single Select,Yes; No
